	entrez	symbol	PCA.PC1	PCA.PC2	CTRL2_CNTF_3_weeks_untreated_1	CTRL2_BMP4_3_weeks_untreated_1
ID					CTRL2_CNTF_3_weeks_untreated_1	CTRL2_BMP4_3_weeks_untreated_1
LIMS_ID					OTO5403A27	OTO5403A25
sample_label					CTRL2_CNTF_3_weeks_16	CTRL2_BMP4_3_weeks_19
sample_no					16	19
cell_line					CTRL2	CTRL2
target					CNTF_diff_3w	BMP4_diff_3w
differentiation					CNTF	BMP4
time					3_weeks	3_weeks
treatment					untreated	untreated
experiment					1	1
cell_line_batch					CTRL2_1	CTRL2_1
.PCA.PC1					-46.9484941098684	46.9484941098684
.PCA.PC2					8.48409884013357e-14	7.82438350221959e-14
	entrez	symbol	PCA.PC1	PCA.PC2	CTRL2_CNTF_3_weeks_untreated_1	CTRL2_BMP4_3_weeks_untreated_1
ENSG00000000003	7105	TSPAN6	-0.00712559213695184	0.190466931456636	17855.48871599	11193.2982165321
ENSG00000000005	64102	TNMD	0.000488338664600949	9.6282080304611e-06	12.6002465165753	14.2854347939316
ENSG00000000419	8813	DPM1	0.00239184384327211	-4.44139549350186e-05	3285.2019590671	3854.84732987198
ENSG00000000457	57147	SCYL3	0.00266350810324167	0.0105919746592439	1199.69355149765	1444.67393180232
ENSG00000000460	55732	C1orf112	0.00297565187772004	-7.32373507160264e-05	782.881269908775	970.044921484061
ENSG00000000971	3075	CFH	0.0141047872536855	-5.67362171098044e-05	169.437863192594	552.102099479788
ENSG00000001036	2519	FUCA2	0.000806575082726564	-0.010432374547499	9590.74421659652	10112.9174972846
ENSG00000001084	2729	GCLC	-4.61506442058384e-05	0.0104415373204148	3843.05112628239	3831.23500473517
ENSG00000001167	4800	NFYA	0.0039292259693382	0.0105157749201358	5121.63048093505	6642.4091169086
ENSG00000001460	90529	STPG1	-0.00839821760889919	-0.0108128061074779	3269.82177377905	1852.53430280977
ENSG00000001461	57185	NIPAL3	-0.000686212023146701	-0.0104356106178895	6947.5938638037	6639.88150492491
ENSG00000001497	81887	LAS1L	-0.00107152331973867	0.0104416883859149	7014.36011531711	6535.2989077219
ENSG00000001561	22875	ENPP4	-0.00526766241103745	0.010460192489199	1475.73509093273	1020.03944288442
ENSG00000001617	6405	SEMA3F	-0.0142822699626209	9.03016306207452e-05	1948.24679002641	712.253707848373
ENSG00000001629	54467	ANKIB1	0.00162297675441541	-0.0104235999026069	23283.5859267995	25888.5281629322
ENSG00000001630	1595	CYP51A1	-0.00157623816190015	0.0104147607306442	23683.9418257752	21365.1856908932
ENSG00000001631	889	KRIT1	-3.87802077814003e-05	9.60181461396286e-07	4118.35708518049	4107.73146915176
ENSG00000002016	5893	RAD52	0.000510683013226204	-1.49940397269621e-05	1199.85144911233	1243.5889468683
ENSG00000002330	572	BAD	-0.00144590416964238	2.86904578581729e-05	10902.1222837318	9914.20745310174
ENSG00000002549	51056	LAP3	-0.00196042715990567	4.44107115239208e-05	12285.6633114982	10802.2959473253
ENSG00000002586	4267	CD99	-0.00826768960624465	0.0208178752808215	144092.638331632	84088.8628613591
ENSG00000002587	9957	HS3ST1	0.000515910172295466	4.41390257821655e-06	301.362255125912	314.588168848118
ENSG00000002746	23072	HECW1	0.00702081684526524	-2.23963283327494e-05	3368.75765162561	5376.17034910791
ENSG00000002822	8379	MAD1L1	0.00150582738566115	4.15628996296923e-05	5875.46241913478	6490.46173383842
ENSG00000002834	3927	LASP1	0.0101831589534257	3.22315806128407e-05	27367.255730201	53188.5352462889
ENSG00000002919	29916	SNX11	0.00258777206587987	0.0103615398185567	3578.78768529647	4253.01983197673
ENSG00000002933	55365	TMEM176A	0.00261902432761951	0.00513412561608806	60.1809806114336	83.7473891052294
ENSG00000003056	4074	M6PR	0.00542075752243017	-0.0101628017490558	18714.1553504249	26672.6442445967
ENSG00000003096	90293	KLHL13	-0.00857786337352633	0.000316863946560817	1365.49176110459	741.344641421429
ENSG00000003137	56603	CYP26B1	0.017628820183691	-0.0111662066040288	222.360825580892	889.25735674635
ENSG00000003147	3382	ICA1	-0.0086929923767721	-0.000314050906256444	727.01633439517	374.043865501637
ENSG00000003249	79007	DBNDD1	0.00222964478793961	0.0104292686144812	3818.70777401289	4430.20440451825
ENSG00000003393	57679	ALS2	-0.000282975487663029	0.0104455324810865	10463.3227721045	10270.6012555117
ENSG00000003400	843	CASP10	0.00633377757859128	-0.00511396770804288	16.9994738188604	52.4133869962175
ENSG00000003402	8837	CFLAR	0.00341609129266597	-0.0104363685608563	8253.69418305099	10333.0322287849
ENSG00000003436	7035	TFPI	-0.0149215586828441	0.000211203494108686	6962.38235730306	2576.16503655334
ENSG00000003509	55471	NDUFAF7	0.00412389237624452	-0.0105702274375678	1728.37983732438	2289.94108501463
ENSG00000003756	10181	RBM5	0.00122480041654913	-0.010429883051536	22820.797389272	24722.5519939642
ENSG00000003987	9108	MTMR7	0.00436312455989525	-9.29128718659115e-06	108.429290970858	169.087151966414
ENSG00000003989	6542	SLC7A2	-0.0109626125692048	0.000115178175994799	184.503078506618	54.0261988075306
ENSG00000004059	381	ARF5	0.00150219422824511	0.0104852575904282	14599.1982549323	16108.688839851
ENSG00000004139	23098	SARM1	0.000341747577444431	-3.44158010915375e-06	18265.0824138193	18678.0915777244
ENSG00000004142	26073	POLDIP2	0.00126574827095135	0.010448388097997	14312.9887800813	15550.4129444819
ENSG00000004399	23129	PLXND1	0.0157168794903902	0.0100813935468341	36052.887692702	100448.790700698
