	entrez	symbol	PCA.PC1	PCA.PC2	CTRL2_CNTF_3_weeks_untreated_1	CTRL2_BMP4_3_weeks_untreated_1
ID					CTRL2_CNTF_3_weeks_untreated_1	CTRL2_BMP4_3_weeks_untreated_1
LIMS_ID					OTO5403A27	OTO5403A25
sample_label					CTRL2_CNTF_3_weeks_16	CTRL2_BMP4_3_weeks_19
sample_no					16	19
cell_line					CTRL2	CTRL2
target					CNTF_diff_3w	BMP4_diff_3w
differentiation					CNTF	BMP4
time					3_weeks	3_weeks
treatment					untreated	untreated
experiment					1	1
cell_line_batch					CTRL2_1	CTRL2_1
.PCA.PC1					-46.9484941098684	46.9484941098684
.PCA.PC2					8.48409884013357e-14	7.82438350221959e-14
	entrez	symbol	PCA.PC1	PCA.PC2	CTRL2_CNTF_3_weeks_untreated_1	CTRL2_BMP4_3_weeks_untreated_1
ENSG00000000003	7105	TSPAN6	-0.00712559213695184	0.190466931456636	14.1319618113433	13.4628901704012
ENSG00000000005	64102	TNMD	0.000488338664600949	9.6282080304611e-06	6.3381173487929	6.38397087863017
ENSG00000000419	8813	DPM1	0.00239184384327211	-4.44139549350186e-05	11.7238496826758	11.9484366158509
ENSG00000000457	57147	SCYL3	0.00266350810324167	0.0105919746592439	10.3396186214382	10.5897140104315
ENSG00000000460	55732	C1orf112	0.00297565187772004	-7.32373507160264e-05	9.77824043836273	10.057645187671
ENSG00000000971	3075	CFH	0.0141047872536855	-5.67362171098044e-05	8.01175417964955	9.33615122225076
ENSG00000001036	2519	FUCA2	0.000806575082726564	-0.010432374547499	13.2420496058752	13.3177845769163
ENSG00000001084	2729	GCLC	-4.61506442058384e-05	0.0104415373204148	11.944123462474	11.9397900559787
ENSG00000001167	4800	NFYA	0.0039292259693382	0.0105157749201358	12.3495910077337	12.7185334922893
ENSG00000001460	90529	STPG1	-0.00839821760889919	-0.0108128061074779	11.7172733067951	10.9287059669056
ENSG00000001461	57185	NIPAL3	-0.000686212023146701	-0.0104356106178895	12.7824255701009	12.7179923278472
ENSG00000001497	81887	LAS1L	-0.00107152331973867	0.0104416883859149	12.7960340282538	12.6954212157231
ENSG00000001561	22875	ENPP4	-0.00526766241103745	0.010460192489199	10.6185314975569	10.1239138622022
ENSG00000001617	6405	SEMA3F	-0.0142822699626209	9.03016306207452e-05	10.9979017446271	9.65683961019582
ENSG00000001629	54467	ANKIB1	0.00162297675441541	-0.0104235999026069	14.5130757301648	14.665468359355
ENSG00000001630	1595	CYP51A1	-0.00157623816190015	0.0104147607306442	14.53756972324	14.3895657071205
ENSG00000001631	889	KRIT1	-3.87802077814003e-05	9.60181461396286e-07	12.041569413311	12.0379280685978
ENSG00000002016	5893	RAD52	0.000510683013226204	-1.49940397269621e-05	10.3397946604867	10.3877462573636
ENSG00000002330	572	BAD	-0.00144590416964238	2.86904578581729e-05	13.4251967362574	13.2894306894736
ENSG00000002549	51056	LAP3	-0.00196042715990567	4.44107115239208e-05	13.5961220990591	13.4120438931198
ENSG00000002586	4267	CD99	-0.00826768960624465	0.0208178752808215	17.1376173037285	16.3613061501665
ENSG00000002587	9957	HS3ST1	0.000515910172295466	4.41390257821655e-06	8.61916367795335	8.66760608932382
ENSG00000002746	23072	HECW1	0.00702081684526524	-2.23963283327494e-05	11.7590622928307	12.4182958494435
ENSG00000002822	8379	MAD1L1	0.00150582738566115	4.15628996296923e-05	12.5442425388378	12.6856351951302
ENSG00000002834	3927	LASP1	0.0101831589534257	3.22315806128407e-05	14.7453128711839	15.7014808274734
ENSG00000002919	29916	SNX11	0.00258777206587987	0.0103615398185567	11.843954348736	12.0869383519213
ENSG00000002933	55365	TMEM176A	0.00261902432761951	0.00513412561608806	7.14094374855365	7.38686224499134
ENSG00000003056	4074	M6PR	0.00542075752243017	-0.0101628017490558	14.1993638895868	14.7083566948124
ENSG00000003096	90293	KLHL13	-0.00857786337352633	0.000316863946560817	10.5135307971746	9.70809526104006
ENSG00000003137	56603	CYP26B1	0.017628820183691	-0.0111662066040288	8.28835187376809	9.94364499488398
ENSG00000003147	3382	ICA1	-0.0086929923767721	-0.000314050906256444	9.68307919487249	8.86683339207646
ENSG00000003249	79007	DBNDD1	0.00222964478793961	0.0104292686144812	11.9351815958067	12.1445385261941
ENSG00000003393	57679	ALS2	-0.000282975487663029	0.0104455324810865	13.3664650132185	13.3398944671869
ENSG00000003400	843	CASP10	0.00633377757859128	-0.00511396770804288	6.45210619997082	7.04682883865424
ENSG00000003402	8837	CFLAR	0.00341609129266597	-0.0104363685608563	13.0277948549307	13.3485555387957
ENSG00000003436	7035	TFPI	-0.0149215586828441	0.000211203494108686	12.7854508841782	11.3843614643151
ENSG00000003509	55471	NDUFAF7	0.00412389237624452	-0.0105702274375678	10.833692773258	11.2209138471297
ENSG00000003756	10181	RBM5	0.00122480041654913	-0.010429883051536	14.4842339648604	14.5992390351446
ENSG00000003987	9108	MTMR7	0.00436312455989525	-9.29128718659115e-06	7.60003475157134	8.00971900697307
ENSG00000003989	6542	SLC7A2	-0.0109626125692048	0.000115178175994799	8.09639359108565	7.06703728781749
ENSG00000004059	381	ARF5	0.00150219422824511	0.0104852575904282	13.8432325734601	13.9842840872134
ENSG00000004139	23098	SARM1	0.000341747577444431	-3.44158010915375e-06	14.1645064087403	14.1965954769937
ENSG00000004142	26073	POLDIP2	0.00126574827095135	0.010448388097997	13.8148600004961	13.9337099509827
ENSG00000004399	23129	PLXND1	0.0157168794903902	0.0100813935468341	15.1417387947854	16.6175064431456
