	entrez	symbol	PCA.PC1	PCA.PC2	PCA.PC3	PCA.PC4	PCA.PC5	PCA.PC6	PCA.PC7	PCA.PC8	PCA.PC9	PCA.PC10	PCA.PC11	PCA.PC12	PCA.PC13	PCA.PC14	PCA.PC15	PCA.PC16	PCA.PC17	PCA.PC18	PCA.PC19	PCA.PC20	PCA.PC21	PCA.PC22	PCA.PC23	PCA.PC24	PCA.PC25	PCA.PC26	PCA.PC27	PCA.PC28	PCA.PC29	PCA.PC30	PCA.PC31	PCA.PC32	PCA.PC33	PCA.PC34	PCA.PC35	PCA.PC36	PCA.PC37	PCA.PC38	PCA.PC39	PCA.PC40	PCA.PC41	PCA.PC42	CTRL2_progenitor_0_weeks_untreated_1	CTRL2_progenitor_0_weeks_untreated_2	CTRL2_progenitor_0_weeks_untreated_3	CTRL2_CNTF_2_weeks_untreated_1	CTRL2_CNTF_2_weeks_untreated_2	CTRL2_CNTF_2_weeks_untreated_3	CTRL2_BMP4_2_weeks_untreated_1	CTRL2_BMP4_2_weeks_untreated_2	CTRL2_BMP4_2_weeks_untreated_3	CTRL2_CNTF_3_weeks_untreated_1	CTRL2_CNTF_3_weeks_untreated_2	CTRL2_CNTF_3_weeks_untreated_3	CTRL2_BMP4_3_weeks_untreated_1	CTRL2_BMP4_3_weeks_untreated_2	CTRL2_BMP4_3_weeks_untreated_3	CTRL2_CNTF_3_weeks_treated_1	CTRL2_CNTF_3_weeks_treated_2	CTRL2_CNTF_3_weeks_treated_3	CTRL2_BMP4_3_weeks_treated_1	CTRL2_BMP4_3_weeks_treated_2	CTRL2_BMP4_3_weeks_treated_3	CTRL3_progenitor_0_weeks_untreated_1	CTRL3_progenitor_0_weeks_untreated_2	CTRL3_progenitor_0_weeks_untreated_3	CTRL3_CNTF_2_weeks_untreated_1	CTRL3_CNTF_2_weeks_untreated_2	CTRL3_CNTF_2_weeks_untreated_3	CTRL3_BMP4_2_weeks_untreated_1	CTRL3_BMP4_2_weeks_untreated_2	CTRL3_BMP4_2_weeks_untreated_3	CTRL3_CNTF_3_weeks_untreated_1	CTRL3_CNTF_3_weeks_untreated_2	CTRL3_CNTF_3_weeks_untreated_3	CTRL3_BMP4_3_weeks_untreated_1	CTRL3_BMP4_3_weeks_untreated_2	CTRL3_BMP4_3_weeks_untreated_3	CTRL3_CNTF_3_weeks_treated_1	CTRL3_CNTF_3_weeks_treated_2	CTRL3_CNTF_3_weeks_treated_3	CTRL3_BMP4_3_weeks_treated_1	CTRL3_BMP4_3_weeks_treated_2	CTRL3_BMP4_3_weeks_treated_3
ID																																													CTRL2_progenitor_0_weeks_untreated_1	CTRL2_progenitor_0_weeks_untreated_2	CTRL2_progenitor_0_weeks_untreated_3	CTRL2_CNTF_2_weeks_untreated_1	CTRL2_CNTF_2_weeks_untreated_2	CTRL2_CNTF_2_weeks_untreated_3	CTRL2_BMP4_2_weeks_untreated_1	CTRL2_BMP4_2_weeks_untreated_2	CTRL2_BMP4_2_weeks_untreated_3	CTRL2_CNTF_3_weeks_untreated_1	CTRL2_CNTF_3_weeks_untreated_2	CTRL2_CNTF_3_weeks_untreated_3	CTRL2_BMP4_3_weeks_untreated_1	CTRL2_BMP4_3_weeks_untreated_2	CTRL2_BMP4_3_weeks_untreated_3	CTRL2_CNTF_3_weeks_treated_1	CTRL2_CNTF_3_weeks_treated_2	CTRL2_CNTF_3_weeks_treated_3	CTRL2_BMP4_3_weeks_treated_1	CTRL2_BMP4_3_weeks_treated_2	CTRL2_BMP4_3_weeks_treated_3	CTRL3_progenitor_0_weeks_untreated_1	CTRL3_progenitor_0_weeks_untreated_2	CTRL3_progenitor_0_weeks_untreated_3	CTRL3_CNTF_2_weeks_untreated_1	CTRL3_CNTF_2_weeks_untreated_2	CTRL3_CNTF_2_weeks_untreated_3	CTRL3_BMP4_2_weeks_untreated_1	CTRL3_BMP4_2_weeks_untreated_2	CTRL3_BMP4_2_weeks_untreated_3	CTRL3_CNTF_3_weeks_untreated_1	CTRL3_CNTF_3_weeks_untreated_2	CTRL3_CNTF_3_weeks_untreated_3	CTRL3_BMP4_3_weeks_untreated_1	CTRL3_BMP4_3_weeks_untreated_2	CTRL3_BMP4_3_weeks_untreated_3	CTRL3_CNTF_3_weeks_treated_1	CTRL3_CNTF_3_weeks_treated_2	CTRL3_CNTF_3_weeks_treated_3	CTRL3_BMP4_3_weeks_treated_1	CTRL3_BMP4_3_weeks_treated_2	CTRL3_BMP4_3_weeks_treated_3
LIMS_ID																																													OTO5403A22	OTO5403A29	OTO5403A36	OTO5403A24	OTO5403A31	OTO5403A38	OTO5403A23	OTO5403A30	OTO5403A37	OTO5403A27	OTO5403A41	OTO5403A34	OTO5403A25	OTO5403A32	OTO5403A39	OTO5403A28	OTO5403A42	OTO5403A35	OTO5403A26	OTO5403A33	OTO5403A40	OTO5403A1	OTO5403A8	OTO5403A15	OTO5403A3	OTO5403A10	OTO5403A17	OTO5403A2	OTO5403A9	OTO5403A16	OTO5403A6	OTO5403A13	OTO5403A20	OTO5403A4	OTO5403A11	OTO5403A18	OTO5403A7	OTO5403A14	OTO5403A21	OTO5403A5	OTO5403A12	OTO5403A19
sample_label																																													CTRL2_progenitor_0_weeks_1	CTRL2_progenitor_0_weeks_2	CTRL2_progenitor_0_weeks_3	CTRL2_CNTF_2_weeks_10	CTRL2_CNTF_2_weeks_11	CTRL2_CNTF_2_weeks_12	CTRL2_BMP4_2_weeks_13	CTRL2_BMP4_2_weeks_14	CTRL2_BMP4_2_weeks_15	CTRL2_CNTF_3_weeks_16	CTRL2_CNTF_3_weeks_17	CTRL2_CNTF_3_weeks_18	CTRL2_BMP4_3_weeks_19	CTRL2_BMP4_3_weeks_20	CTRL2_BMP4_3_weeks_21	CTRL2_CNTF_3_weeks_16	CTRL2_CNTF_3_weeks_17	CTRL2_CNTF_3_weeks_18	CTRL2_BMP4_3_weeks_19	CTRL2_BMP4_3_weeks_20	CTRL2_BMP4_3_weeks_21	CTRL3_progenitor_0_weeks_22	CTRL3_progenitor_0_weeks_23	CTRL3_progenitor_0_weeks_24	CTRL3_CNTF_2_weeks_31	CTRL3_CNTF_2_weeks_32	CTRL3_CNTF_2_weeks_33	CTRL3_BMP4_2_weeks_34	CTRL3_BMP4_2_weeks_35	CTRL3_BMP4_2_weeks_36	CTRL3_CNTF_3_weeks_37	CTRL3_CNTF_3_weeks_38	CTRL3_CNTF_3_weeks_39	CTRL3_BMP4_3_weeks_40	CTRL3_BMP4_3_weeks_41	CTRL3_BMP4_3_weeks_42	CTRL3_CNTF_3_weeks_37	CTRL3_CNTF_3_weeks_38	CTRL3_CNTF_3_weeks_39	CTRL3_BMP4_3_weeks_40	CTRL3_BMP4_3_weeks_41	CTRL3_BMP4_3_weeks_42
sample_no																																													1	2	3	10	11	12	13	14	15	16	17	18	19	20	21	16	17	18	19	20	21	22	23	24	31	32	33	34	35	36	37	38	39	40	41	42	37	38	39	40	41	42
cell_line																																													CTRL2	CTRL2	CTRL2	CTRL2	CTRL2	CTRL2	CTRL2	CTRL2	CTRL2	CTRL2	CTRL2	CTRL2	CTRL2	CTRL2	CTRL2	CTRL2	CTRL2	CTRL2	CTRL2	CTRL2	CTRL2	CTRL3	CTRL3	CTRL3	CTRL3	CTRL3	CTRL3	CTRL3	CTRL3	CTRL3	CTRL3	CTRL3	CTRL3	CTRL3	CTRL3	CTRL3	CTRL3	CTRL3	CTRL3	CTRL3	CTRL3	CTRL3
target																																													progenitor	progenitor	progenitor	CNTF_diff_2w	CNTF_diff_2w	CNTF_diff_2w	BMP4_diff_2w	BMP4_diff_2w	BMP4_diff_2w	CNTF_diff_3w	CNTF_diff_3w	CNTF_diff_3w	BMP4_diff_3w	BMP4_diff_3w	BMP4_diff_3w	CNTF_diff_3w	CNTF_diff_3w	CNTF_diff_3w	BMP4_diff_3w	BMP4_diff_3w	BMP4_diff_3w	progenitor	progenitor	progenitor	CNTF_diff_2w	CNTF_diff_2w	CNTF_diff_2w	BMP4_diff_2w	BMP4_diff_2w	BMP4_diff_2w	CNTF_diff_3w	CNTF_diff_3w	CNTF_diff_3w	BMP4_diff_3w	BMP4_diff_3w	BMP4_diff_3w	CNTF_diff_3w	CNTF_diff_3w	CNTF_diff_3w	BMP4_diff_3w	BMP4_diff_3w	BMP4_diff_3w
differentiation																																													progenitor	progenitor	progenitor	CNTF	CNTF	CNTF	BMP4	BMP4	BMP4	CNTF	CNTF	CNTF	BMP4	BMP4	BMP4	CNTF	CNTF	CNTF	BMP4	BMP4	BMP4	progenitor	progenitor	progenitor	CNTF	CNTF	CNTF	BMP4	BMP4	BMP4	CNTF	CNTF	CNTF	BMP4	BMP4	BMP4	CNTF	CNTF	CNTF	BMP4	BMP4	BMP4
time																																													0_weeks	0_weeks	0_weeks	2_weeks	2_weeks	2_weeks	2_weeks	2_weeks	2_weeks	3_weeks	3_weeks	3_weeks	3_weeks	3_weeks	3_weeks	3_weeks	3_weeks	3_weeks	3_weeks	3_weeks	3_weeks	0_weeks	0_weeks	0_weeks	2_weeks	2_weeks	2_weeks	2_weeks	2_weeks	2_weeks	3_weeks	3_weeks	3_weeks	3_weeks	3_weeks	3_weeks	3_weeks	3_weeks	3_weeks	3_weeks	3_weeks	3_weeks
treatment																																													untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	treated	treated	treated	treated	treated	treated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	treated	treated	treated	treated	treated	treated
experiment																																													1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3
