	entrez	symbol	PCA.PC1	PCA.PC2	CTRL2_CNTF_3_weeks_untreated_1	CTRL2_BMP4_3_weeks_untreated_1
ID					CTRL2_CNTF_3_weeks_untreated_1	CTRL2_BMP4_3_weeks_untreated_1
LIMS_ID					OTO5403A27	OTO5403A25
sample_label					CTRL2_CNTF_3_weeks_16	CTRL2_BMP4_3_weeks_19
sample_no					16	19
cell_line					CTRL2	CTRL2
target					CNTF_diff_3w	BMP4_diff_3w
differentiation					CNTF	BMP4
time					3_weeks	3_weeks
treatment					untreated	untreated
experiment					1	1
cell_line_batch					CTRL2_1	CTRL2_1
.PCA.PC1					-46.9484941098684	46.9484941098684
.PCA.PC2					8.48409884013357e-14	7.82438350221959e-14
	entrez	symbol	PCA.PC1	PCA.PC2	CTRL2_CNTF_3_weeks_untreated_1	CTRL2_BMP4_3_weeks_untreated_1
ENSG00000000003	7105	TSPAN6	-0.00712559213695184	0.190466931456636	17665	11314
ENSG00000000005	64102	TNMD	0.000488338664600949	9.6282080304611e-06	10	18
ENSG00000000419	8813	DPM1	0.00239184384327211	-4.44139549350186e-05	3248	3899
ENSG00000000457	57147	SCYL3	0.00266350810324167	0.0105919746592439	1314	1319
ENSG00000000460	55732	C1orf112	0.00297565187772004	-7.32373507160264e-05	665	1142
ENSG00000000971	3075	CFH	0.0141047872536855	-5.67362171098044e-05	139	673
ENSG00000001036	2519	FUCA2	0.000806575082726564	-0.010432374547499	9551	10155
ENSG00000001084	2729	GCLC	-4.61506442058384e-05	0.0104415373204148	4144	3553
ENSG00000001167	4800	NFYA	0.0039292259693382	0.0105157749201358	5089	6685
ENSG00000001460	90529	STPG1	-0.00839821760889919	-0.0108128061074779	3269	1853
ENSG00000001461	57185	NIPAL3	-0.000686212023146701	-0.0104356106178895	6800	6784
ENSG00000001497	81887	LAS1L	-0.00107152331973867	0.0104416883859149	6910	6634
ENSG00000001561	22875	ENPP4	-0.00526766241103745	0.010460192489199	1453	1036
ENSG00000001617	6405	SEMA3F	-0.0142822699626209	9.03016306207452e-05	2014	689
ENSG00000001629	54467	ANKIB1	0.00162297675441541	-0.0104235999026069	22855	26374
ENSG00000001630	1595	CYP51A1	-0.00157623816190015	0.0104147607306442	23495	21537
ENSG00000001631	889	KRIT1	-3.87802077814003e-05	9.60181461396286e-07	4377	3865
ENSG00000002016	5893	RAD52	0.000510683013226204	-1.49940397269621e-05	1293	1154
ENSG00000002330	572	BAD	-0.00144590416964238	2.86904578581729e-05	10726	10077
ENSG00000002549	51056	LAP3	-0.00196042715990567	4.44107115239208e-05	12007	11053
ENSG00000002586	4267	CD99	-0.00826768960624465	0.0208178752808215	140518	86228
ENSG00000002587	9957	HS3ST1	0.000515910172295466	4.41390257821655e-06	283	335
ENSG00000002746	23072	HECW1	0.00702081684526524	-2.23963283327494e-05	3237	5595
ENSG00000002822	8379	MAD1L1	0.00150582738566115	4.15628996296923e-05	6407	5952
ENSG00000002834	3927	LASP1	0.0101831589534257	3.22315806128407e-05	26997	53918
ENSG00000002919	29916	SNX11	0.00258777206587987	0.0103615398185567	3415	4457
ENSG00000002933	55365	TMEM176A	0.00261902432761951	0.00513412561608806	70	72
ENSG00000003056	4074	M6PR	0.00542075752243017	-0.0101628017490558	18824	26517
ENSG00000003096	90293	KLHL13	-0.00857786337352633	0.000316863946560817	1325	764
ENSG00000003137	56603	CYP26B1	0.017628820183691	-0.0111662066040288	214	924
ENSG00000003147	3382	ICA1	-0.0086929923767721	-0.000314050906256444	607	448
ENSG00000003249	79007	DBNDD1	0.00222964478793961	0.0104292686144812	3812	4438
ENSG00000003393	57679	ALS2	-0.000282975487663029	0.0104455324810865	10066	10676
ENSG00000003400	843	CASP10	0.00633377757859128	-0.00511396770804288	27	33
ENSG00000003402	8837	CFLAR	0.00341609129266597	-0.0104363685608563	9428	9046
ENSG00000003436	7035	TFPI	-0.0149215586828441	0.000211203494108686	6278	2857
ENSG00000003509	55471	NDUFAF7	0.00412389237624452	-0.0105702274375678	1874	2112
ENSG00000003756	10181	RBM5	0.00122480041654913	-0.010429883051536	24718	22825
ENSG00000003987	9108	MTMR7	0.00436312455989525	-9.29128718659115e-06	103	178
ENSG00000003989	6542	SLC7A2	-0.0109626125692048	0.000115178175994799	178	56
ENSG00000004059	381	ARF5	0.00150219422824511	0.0104852575904282	14026	16767
ENSG00000004139	23098	SARM1	0.000341747577444431	-3.44158010915375e-06	19121	17842
ENSG00000004142	26073	POLDIP2	0.00126574827095135	0.010448388097997	14086	15801
ENSG00000004399	23129	PLXND1	0.0157168794903902	0.0100813935468341	35378	102365
ENSG00000004455	204	AK2	0.00140223684374282	6.11538749769171e-05	11817	11845
ENSG00000004468	952	CD38	-0.0245171946615339	-0.000584828020559535	5620	1176
ENSG00000004478	2288	FKBP4	0.00195682633859839	0.0104808638606913	10622	13294
ENSG00000004487	23028	KDM1A	-5.06117289271466e-05	0.0104423809978315	20118	19986
ENSG00000004534	10180	RBM6	-0.00563132887794415	-0.000240382724744459	17880	14405
ENSG00000004660	84254	CAMKK1	0.00534541882087338	0.0104111174504714	1744	2577
ENSG00000004700	5965	RECQL	0.00468973061212093	-7.10588095773173e-05	4436	6174
ENSG00000004766	55610	VPS50	0.00044787717431741	0.0104398913497868	3328	3495
ENSG00000004776	126393	HSPB6	-0.00875726423928563	0.0104674557238815	338	161
ENSG00000004777	115703	ARHGAP33	-0.00883455952603332	3.9066167365909e-05	8674	6901
ENSG00000004779	4706	NDUFAB1	0.000197506698027931	0.0104464482516557	5080	5336
