"","symbol","id","baseMean","log2FoldChange","lfcSE","stat","pvalue","entrez","sig","shrunkLFC","class","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","Comparison","top.prop"
"BMP4_diff_3w - progenitor|untreated.1","ABCA8","ENSG00000141338",35.147280648871,3.01300882946989,0.522977982006743,5.76125369161535,8.34914362649942e-09,"10351","<= 0.05",2.82784414852064,"Up*",0,1.658723056,0.449,0.065,0,"fibroblast","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.2","ABCG2","ENSG00000118777",6.14101085139514,3.49442383876583,1.01731823582695,3.4349367933283,0.000592692051913191,"9429","<= 0.05",2.46774219199527,"Up*",0,2.107851086,0.603,0.033,0,"endothelial","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.3","ACKR3","ENSG00000144476",419.562530981519,3.53436887594558,0.916809154385454,3.85507589997255,0.00011569372973373,"57007","<= 0.05",2.83429947386505,"Up*",3.67e-86,0.929246117,0.131,0.022,7.5e-82,"SMC","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.4","ACOT11","ENSG00000162390",152.990453645629,4.92506505161987,0.819959199001854,6.00647575832457,1.89599308650336e-09,"26027","<= 0.05",4.46594923823495,"Up*",0,1.779747467,0.658,0.073,0,"astrocyte","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.5","ACTA2","ENSG00000107796",38512.3649165078,2.0824061349375,0.625170734056867,3.33093988809156,0.000865532908658216,"59","<= 0.05",1.50834652161059,"Up*",3.53e-283,1.632328863,0.359,0.048,7.20999999999999e-279,"SMC","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.6","ANO4","ENSG00000151572",128.886110229169,4.2396677483707,0.579996806483418,7.30981222823666,2.67515950898438e-13,"121601","<= 0.05",4.02803696478932,"Up*",0,3.140327389,0.675,0.035,0,"oligodendrocytes","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.7","ARFGEF3","ENSG00000112379",96.3887060401081,2.79742001666507,0.600700709965615,4.65692810122565,3.20962471547058e-06,"57221","<= 0.05",2.51050202272312,"Up*",0,2.165508917,0.591,0.11,0,"oligodendrocytes","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.8","ATP8B4","ENSG00000104043",6.25111602227771,4.57590336533809,1.26056313595632,3.6300469487128,0.000283369673241785,"79895","<= 0.05",3.21553639244745,"Up*",0,2.93826203,0.685,0.062,0,"microglia","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.9","C3","ENSG00000125730",11436.0779068888,3.8569756059437,0.743203842337143,5.18966047567074,2.10677870783464e-07,"718","<= 0.05",3.50463945426454,"Up*",0,2.55949583,0.569,0.077,0,"microglia","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.10","CELF4","ENSG00000101489",134.202463654266,4.05392045028838,0.531009312631497,7.63436789874468,2.26931037565661e-14,"56853","<= 0.05",3.88070396048301,"Up*",0,2.177119996,0.472,0.019,0,"NEU2","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.11","CEMIP","ENSG00000103888",12459.6320101753,2.23462136482863,0.873815821691576,2.5573139205728,0.0105483976772014,"57214","<= 0.05",1.05771649167503,"Up*",0,3.38059555,0.883,0.119,0,"fibroblast","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.12","CNTNAP2","ENSG00000174469",210.631240749498,6.599865420258,0.937053026954671,7.04321445042113,1.87854761193486e-12,"26047","<= 0.05",5.86053137089188,"Up*",0,2.427675117,0.615,0.122,0,"oligodendrocytes","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.13","COL15A1","ENSG00000204291",51.8800660504987,2.82423370713449,0.684136412994294,4.12817334889913,3.65656417011898e-05,"1306","<= 0.05",2.41235824551365,"Up*",0,1.591732656,0.339,0.005,0,"fibroblast","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.14","CPE","ENSG00000109472",513.12290595528,2.26966196319038,0.67278964132322,3.37350907889498,0.000742165990039226,"1363","<= 0.05",1.65652041572261,"Up*",0,1.97982977,0.701,0.115,0,"astrocyte","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.15","CYYR1","ENSG00000166265",75.5363339309745,2.30335956679146,0.955150782060482,2.41151408767376,0.0158864381057654,"116159","<= 0.05",0.961765575519473,"Up*",0,1.516066638,0.364,0.009,0,"endothelial","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.16","DACH2","ENSG00000126733",19.971216351968,4.88485554291712,1.25466556512266,3.89335268194721,9.88682521992485e-05,"117154","<= 0.05",3.64846186766923,"Up*",2.1e-70,0.965058302,0.111,0.017,4.29e-66,"SMC","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.17","DNAH7","ENSG00000118997",296.321781294638,2.09258863020904,0.599688582582842,3.48945884745099,0.000483999574459835,"56171","<= 0.05",1.59118415613317,"Up*",0,1.78145836,0.508,0.043,0,"astrocyte","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.18","DOCK8","ENSG00000107099",32.2369153319179,2.0091125601329,0.730587584115819,2.74999548830876,0.00595960852531073,"81704","<= 0.05",1.11764507563188,"Up*",0,3.27267453,0.838,0.115,0,"microglia","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.19","DSCAML1","ENSG00000177103",18.8880243250235,3.98543605331451,0.946180778254801,4.21212958972334,2.52974334860699e-05,"57453","<= 0.05",3.33967382760328,"Up*",0,2.838874657,0.713,0.07,0,"oligodendrocytes","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.20","EDIL3","ENSG00000164176",399.295640251847,3.16108756416844,0.714490831034947,4.42425210634204,9.67769556979606e-06,"10085","<= 0.05",2.77682734062699,"Up*",0,3.64534715,0.853,0.058,0,"oligodendrocytes","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.21","ELN","ENSG00000049540",36927.6712990496,6.01720909011185,0.885045167727631,6.79875932836416,1.05523928080766e-11,"2006","<= 0.05",5.39935614853022,"Up*",0,1.008063911,0.265,0.052,0,"fibroblast","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.22","FAM20A","ENSG00000108950",32.9241056078513,3.29423447427488,1.23325412306036,2.67117247992663,0.00755867962022573,"54757","<= 0.05",1.44222137179162,"Up*",0,1.274296673,0.294,0.022,0,"fibroblast","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.23","FLRT2","ENSG00000185070",131.195569614957,4.76783042046601,1.75949202534925,2.70977665813496,0.00673285282042653,"23768","<= 0.05",1.63634032515408,"Up*",0,2.907297148,0.766,0.044,0,"fibroblast","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.24","FLT1","ENSG00000102755",23.2225132146243,7.18296785823937,1.35252494582334,5.31078401209581,1.09154632964081e-07,"2321","<= 0.05",5.68257414118309,"Up*",0,3.258354832,0.876,0.055,0,"endothelial","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.25","FREM1","ENSG00000164946",1283.09465834228,2.60127333447143,0.855950506590956,3.03904643369121,0.00237328271789412,"158326","<= 0.05",1.61100017542672,"Up*",1.36e-95,0.921348615,0.143,0.019,2.77e-91,"SMC","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.26","GALNT15","ENSG00000131386",791.639840123539,4.79767115929712,0.773918205645161,6.19919666484346,5.675208155863e-10,"117248","<= 0.05",4.39425115480134,"Up*",0,1.36083886,0.522,0.074,0,"endothelial","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.27","GPR85","ENSG00000164604",32.8575232144253,2.06681682324474,0.744906256609628,2.77459989751149,0.00552696568061562,"54329","<= 0.05",1.15817549794779,"Up*",0,1.283256842,0.28,0.006,0,"endothelial","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.28","GUCY1A2","ENSG00000152402",2666.17275825983,2.90545113386885,0.617602257168573,4.70440497932929,2.54607411743074e-06,"2977","<= 0.05",2.61394637515124,"Up*",0,1.535285023,0.346,0.019,0,"pericyte","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.29","HCN1","ENSG00000164588",10.075580842337,2.93378224797448,0.909705605679227,3.22497985024945,0.00125981535393566,"348980","<= 0.05",1.95385460551194,"Up*",0,1.203703787,0.223,0.012,0,"fibroblast","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.30","HCN1","ENSG00000164588",10.075580842337,2.93378224797448,0.909705605679227,3.22497985024945,0.00125981535393566,"348980","<= 0.05",1.95385460551194,"Up*",0,2.185618568,0.458,0.028,0,"NEU2","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.31","HMCN1","ENSG00000143341",58.0545649976877,6.4264236250191,1.11329322221375,5.77244475830038,7.81295626561078e-09,"83872","<= 0.05",5.44186965261591,"Up*",0,1.243177418,0.294,0.033,0,"endothelial","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.32","ITGBL1","ENSG00000198542",20.232358754823,2.312678213906,0.923816930651287,2.50339448994031,0.0123008351012766,"9358","<= 0.05",1.03687963906463,"Up*",0,1.781719168,0.324,0.022,0,"NEU1","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.33","KCNK13","ENSG00000152315",365.875697125637,3.79622219466342,1.08228633901039,3.50759504008392,0.000452176803348999,"56659","<= 0.05",2.70508764700033,"Up*",0,1.99226801,0.346,0.023,0,"microglia","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.34","KIAA1755","ENSG00000149633",34.7015487425199,2.33318482100804,0.84890706335427,2.74845730672681,0.00598764321352655,"85449","<= 0.05",1.24414552515606,"Up*",0,1.549464677,0.425,0.067,0,"fibroblast","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.35","KIF6","ENSG00000164627",20.5237218793481,3.76709643251829,0.804769036959761,4.68096591631997,2.85526411993201e-06,"221458","<= 0.05",3.3335766682021,"Up*",0,2.033980543,0.464,0.076,0,"oligodendrocytes","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.36","KLHL32","ENSG00000186231",9.01526467096094,2.64460146366665,1.08913807055526,2.42815996902798,0.0151756479961135,"114792","<= 0.05",1.04732010974741,"Up*",0,2.631102053,0.741,0.197,0,"oligodendrocytes","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.37","LDB3","ENSG00000122367",52.9252366614773,2.30350305065337,0.579558454369667,3.97458277639773,7.0502739075587e-05,"11155","<= 0.05",1.93342444296114,"Up*",0,2.007330676,0.4,0.013,0,"oligodendrocytes","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.38","LDB3","ENSG00000122367",52.9252366614773,2.30350305065337,0.579558454369667,3.97458277639773,7.0502739075587e-05,"11155","<= 0.05",1.93342444296114,"Up*",4.18e-296,1.577275768,0.274,0.009,8.53e-292,"SMC","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.39","LGI1","ENSG00000108231",6.34276810909922,2.8329007800852,1.12926591351156,2.50862152677221,0.0121203268636715,"9211","<= 0.05",1.16250429137351,"Up*",0,2.029560089,0.632,0.035,0,"astrocyte","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.40","LIMS2","ENSG00000072163",710.768857700362,2.30452505103833,0.547155283621269,4.21183002343716,2.533101288525e-05,"55679","<= 0.05",1.99440353284095,"Up*",0,1.495773083,0.452,0.02,0,"endothelial","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.41","LMOD1","ENSG00000163431",2040.83335407986,3.52437131094106,0.571642976178792,6.16533650863708,7.03334058852944e-10,"25802","<= 0.05",3.32366197022868,"Up*",5.66e-287,1.63166425,0.349,0.03,1.15e-282,"SMC","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.42","LPAR1","ENSG00000198121",110.461431152441,3.13160076369506,0.71086673001558,4.40532751283271,1.05624170610935e-05,"1902","<= 0.05",2.74735152355559,"Up*",0,1.2948314,0.35,0.036,0,"fibroblast","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.43","MYH11","ENSG00000133392",2428.27281362968,7.033827457591,1.0991452739239,6.39936105304857,1.56028493187828e-10,"4629","<= 0.05",6.00170947447236,"Up*",0,2.640842824,0.522,0.018,0,"SMC","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.44","MYRIP","ENSG00000170011",26.9074385603272,4.84084285034358,1.08016691511233,4.48156926732029,7.40961754935489e-06,"25924","<= 0.05",4.02398384033605,"Up*",0,1.806021547,0.772,0.105,0,"endothelial","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.45","NEGR1","ENSG00000172260",331.166428912736,2.61541924491558,0.663919580670417,3.93936151464995,8.16987444187318e-05,"257194","<= 0.05",2.17746094577141,"Up*",0,1.272920722,0.328,0.053,0,"fibroblast","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.46","NFASC","ENSG00000163531",779.852687365277,3.34889899038598,0.454442389545659,7.36924870440482,1.71592284899808e-13,"23114","<= 0.05",3.22483385804592,"Up*",0,2.615685986,0.728,0.125,0,"oligodendrocytes","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.47","NFATC2","ENSG00000101096",109.132873855266,2.45485703483425,0.607669680320801,4.03978857977295,5.34994052829603e-05,"4773","<= 0.05",2.07799956197836,"Up*",0,1.79705348,0.477,0.134,0,"microglia","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.48","NKAIN2","ENSG00000188580",47.2630504856144,2.14272168287943,0.837776467524083,2.55762935095552,0.0105388354938301,"154215","<= 0.05",1.03032435243349,"Up*",0,3.145569789,0.767,0.169,0,"oligodendrocytes","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.49","PALMD","ENSG00000099260",400.727639440078,2.0447918376615,0.533965886761764,3.82944283212948,0.000128433713675586,"54873","<= 0.05",1.67971742372151,"Up*",0,1.496542754,0.462,0.038,0,"endothelial","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.50","PAMR1","ENSG00000149090",924.650321211318,7.86955776662131,0.600382474447326,13.1075740907753,2.97978064152784e-39,"25891","<= 0.05",7.51110232743042,"Up*",0,2.044081187,0.625,0.039,0,"astrocyte","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.51","PAMR1","ENSG00000149090",924.650321211318,7.86955776662131,0.600382474447326,13.1075740907753,2.97978064152784e-39,"25891","<= 0.05",7.51110232743042,"Up*",0,1.036302482,0.229,0.03,0,"fibroblast","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.52","PEX5L","ENSG00000114757",8.78831186678877,2.87872562151837,1.06407504545076,2.70537837892712,0.00682266264686996,"51555","<= 0.05",1.38303234487297,"Up*",0,3.481274794,0.812,0.101,0,"oligodendrocytes","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.53","PLAC8","ENSG00000145287",9.46138974897851,4.23108390041288,1.27982681902733,3.30598158868753,0.000946443063643994,"51316","<= 0.05",2.63071617667474,"Up*",0,1.880614038,0.269,0.022,0,"LYM1","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.54","PLCL1","ENSG00000115896",46.8891149968896,4.37278185729248,0.81115302542384,5.39082234823403,7.01359842999266e-08,"5334","<= 0.05",3.94705159723561,"Up*",0,2.851243885,0.823,0.198,0,"oligodendrocytes","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.55","PLXNA4","ENSG00000221866",4166.36986775037,2.56230680570375,0.342630192783734,7.47834504859605,7.52643728548007e-14,"91584","<= 0.05",2.47362610237597,"Up*",0,2.220439706,0.475,0.03,0,"NEU2","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.56","PLXNC1","ENSG00000136040",1735.95266588135,3.31998522371999,0.696790132274203,4.76468461584571,1.89149266492566e-06,"10154","<= 0.05",2.98440052307292,"Up*",0,1.056071617,0.226,0.013,0,"fibroblast","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.57","PSD2","ENSG00000146005",162.447474106465,2.62283909400754,0.473514521826831,5.53908903129001,3.0404905295104e-08,"84249","<= 0.05",2.44785368004029,"Up*",0,1.668103474,0.519,0.02,0,"astrocyte","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.58","RANBP3L","ENSG00000164188",52.829056023536,3.11937077317419,1.09569641091219,2.84692980839212,0.00441430943620754,"202151","<= 0.05",1.6184356465711,"Up*",0,1.125942491,0.334,0.087,0,"fibroblast","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.59","RANBP3L","ENSG00000164188",52.829056023536,3.11937077317419,1.09569641091219,2.84692980839212,0.00441430943620754,"202151","<= 0.05",1.6184356465711,"Up*",0,1.714986209,0.606,0.065,0,"astrocyte","BMP4_diff_3w - progenitor|untreated",100
"BMP4_diff_3w - progenitor|untreated.60","RCSD1","ENSG00000198771",5.91823120539484,3.73570685177409,1.08198373185977,3.45264604427368,0.000555116887349857,"92241","<= 0.05",2.61393223667454,"Up*",0,1.89299779,0.534,0.099,0,"microglia","BMP4_diff_3w - progenitor|untreated",100
