"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Xkr4",13229.2888308087,-2.49705868121099,0.211631069993901,2.67524151155719e-33,1.16678332622576e-31
"Gm1992",367.748874700622,-2.70810457431554,0.257330244927826,3.5579932032605e-27,1.18478848182821e-25
"Gm19938",506.189335893699,-2.20365649159028,0.212187059109842,3.83878592306036e-26,1.20134192388255e-24
"Gm37381",6.71370177536579,-0.0636525260593223,0.637157909416207,0.881722615076979,0.922877882178937
"Rp1",139.557901053102,-0.154053822439083,0.283041029669749,0.560872335141686,0.678299271556506
"Sox17",537.76601069241,0.881019498461461,0.213182671459004,1.98943707696287e-05,9.23449710250584e-05
"Gm37587",24.1440239893982,0.676148711404085,0.493146127003339,0.100905828338219,0.1781217567104
"Gm37323",3.26949816289734,0.940340660163613,1.15617209831077,0.0956792834704696,0.170486135694596
"Mrpl15",3711.08208468384,0.278435401262651,0.176932761356159,0.108478278928577,0.189000456701086
"Lypla1",4762.62989866895,-0.0943764451794649,0.192294585536664,0.603951154785702,0.715251125848953
"Tcea1",11705.5180755817,0.256731746314544,0.128114441734919,0.0431236006694781,0.0877630904732992
"Rgs20",2297.59455732326,-1.15193414171572,0.216723907466766,4.04844670879995e-08,2.92733838943996e-07
"Gm16041",9.99294587406455,-1.05869415634185,0.709925424043166,0.045979230702536,0.0926902385567279
"Atp6v1h",13272.1232449238,0.492932906989175,0.12850905477192,0.000106040035711949,0.000425865342854515
"Oprk1",30.7766414064735,-0.0638730780139209,0.417206909057259,0.858787361907668,0.906282333867846
"Npbwr1",2.93569078551158,0.530149199491564,0.867878409883756,0.260030072948412,0.380954852170054
"Rb1cc1",17974.1968260146,0.639460552199355,0.183309841362117,0.000356432249944017,0.0012795596300837
"4732440D04Rik",950.637793627625,0.68262878600685,0.252841202732384,0.00439612341522008,0.0121452590456392
"Alkal1",43.8915936595095,-0.799163262201592,0.355448352981494,0.0142161554677909,0.0339975914745124
"St18",1469.37338893269,-4.81214923470128,0.367091132057995,7.25366165728658e-41,4.42056882913202e-39
"Pcmtd1",13314.941537362,-0.196487789093008,0.152773835849706,0.189712244416808,0.297124482894176
"Gm26901",1352.9669109664,-1.37696383522109,0.223806380257007,1.91099929041191e-10,1.83424249901858e-09
"Gm30414",94.1730052249245,-0.803382094419438,0.476535909284042,0.0399971472722453,0.0823809289790731
"Sntg1",1313.14831736192,-2.15210922787364,0.218110600772629,7.21290690075225e-24,1.96936324104783e-22
"Rrs1",2074.8093202965,-0.0891412745257499,0.258294907959295,0.713584933362592,0.801175132993021
"Adhfe1",222.69097999,-1.14890947288368,0.221687189866887,8.23654822221263e-08,5.67842569452354e-07
"2610203C22Rik",78.6387208784209,-0.162797348755843,0.328227958824474,0.587383019844749,0.701250991862165
"Vxn",53.9468267009576,-3.12563315966175,0.441733562691658,1.67448710144817e-13,2.20786151254093e-12
"Gm29520",0,NA,NA,NA,NA
"Mybl1",3533.99276027237,-0.120343429295011,0.140642822547137,0.385514283349587,0.51600414323494
"Vcpip1",5358.39770802301,0.58453105315189,0.183267941138604,0.00108935061417578,0.00350291814510398
"1700034P13Rik",91.7363260301259,0.043142723285859,0.309245169531986,0.887094224852768,0.926976711949275
"Sgk3",1688.82277393438,1.73899675390715,0.242752687243574,1.32640055441249e-13,1.76811762025661e-12
"Mcmdc2",338.50653376374,-1.09604258244202,0.226359527822476,5.02980098438433e-07,3.09715132405624e-06
"Snhg6",2277.53528272649,-0.379026096290444,0.1836863977989,0.0339670192145459,0.0716525213209128
"Tcf24",81.760016465537,0.81906732206567,0.340672554097402,0.00904221108990056,0.022926374569934
"Ppp1r42",56.1442643409471,0.238164119845844,0.309465344952999,0.414026338422021,0.544356487481939
"Gm15818",3.54602516921335,0.0484387507499713,0.756288864161047,0.909327885138832,0.942161509591468
"Cops5",6202.02490578482,0.457563887287551,0.181750855533764,0.00894469908463962,0.0226994684680324
"Cspp1",16971.0400641336,-0.540964617924136,0.154272679788398,0.000318508410692751,0.00115727902638527
"Arfgef1",21650.1381016533,0.368546961535525,0.126656805151115,0.00330076869158699,0.00944443239913367
"Cpa6",799.826663560483,2.06778356617936,0.374157945721207,5.16578116525098e-09,4.1948711955245e-08
"Prex2",6438.25487187271,-0.737413402581297,0.314872997672834,0.0103418004308141,0.0257523972800154
"A830018L16Rik",2202.99460559365,-0.825269110032466,0.383103460047252,0.0142036575387586,0.0339708921361691
"Gm17644",2.18392947097842,-0.474519215938959,0.950576848927977,0.23832879336407,0.356003653306689
"Gm29663",0.53465690281506,-0.0543541364582471,0.882685030987147,0.749259284618714,NA
"Sulf1",16068.6142399203,0.374261301736804,0.322196735443105,0.212005237152949,0.324373084719067
"Slco5a1",3274.308433288,-0.355361678867856,0.157401532436079,0.0215518078601394,0.0486841139868041
"Gm29283",16.6490684497634,-0.398793456888012,0.539909211912657,0.350161608168169,0.478618705074634
"Prdm14",84.2839432322497,0.291728039304959,0.320485218717697,0.325596022028752,0.452420938480359
"Ncoa2",20585.1190206741,-0.366783162756359,0.159132052340933,0.0189702021511666,0.0436458570808182
"Gm29570",62.6178133619824,-0.261591976511496,0.339290836752476,0.399325798858655,0.530310989475831
"Tram1",5457.02960039281,0.36689201662002,0.187323781109032,0.0446936310753082,0.0905388117703698
"Lactb2",3977.37678284362,-0.0314376516114534,0.215043988693794,0.875866386544794,0.918900388404188
"Xkr9",24.2064130698234,2.53666413891449,0.801594091188643,0.000152256441184159,0.000592602075282698
"Eya1",6056.18741053071,-0.191681701026974,0.24453044444862,0.413545615139424,0.543949037024923
"Gm9947",10.2454009918169,-1.73365767648935,0.824905183315725,0.00486090099964868,0.013287540730234
"Msc",12.874380465105,-1.02208831750417,0.612003477152299,0.0358514843667817,0.0750505682468484
"Trpa1",58.0282063811128,-0.0665049145455991,0.340653793472182,0.831684847177354,0.888439425462675
"Kcnb2",2957.39879087968,-2.06041519940221,0.19679704386084,1.17739053320231e-26,3.82561816872393e-25
"Terf1",10373.3881505737,-0.631632784513978,0.155548010898503,4.1959114113041e-05,0.000182244922918262
"Sbspon",236.374261316627,-0.920155159535612,0.293931346120281,0.00090841669069604,0.00297671813465281
"4930444P10Rik",120.012843167145,-1.4420588556425,0.285274318461333,1.03009253548636e-07,7.00682970600254e-07
"Rpl7",32436.803285425,0.393360343141125,0.287028361162362,0.139778226341418,0.232726178942567
"Rdh10",2204.93039492637,0.282855847751194,0.197926248341876,0.143423004139645,0.237821123269806
"Gm28095",26.1742991759613,0.435941755771342,0.400724738940782,0.226072726789878,0.341252467542388
"Stau2",10847.2100305943,-0.0810791545520964,0.143632739096475,0.568808689869701,0.68516325731704
"Gm7568",44.4464076136511,0.112112487033457,0.331706429892751,0.718302084511615,0.804804156441277
"Ube2w",10591.8198791199,0.089982646341968,0.143544858999747,0.525855356695428,0.649170795079202
"Eloc",7000.93119382809,0.70245056606643,0.149841494475788,1.87616082866942e-06,1.05040265823132e-05
"D030040B21Rik",30.307632696134,-0.0692284058053975,0.383111967242603,0.839807264084057,0.893220636534987
"Tmem70",2158.26993572733,0.637051430282645,0.264386614465857,0.010447605178259,0.0259828462668133
"Ly96",779.396178376816,1.25980079999421,0.261524429362676,3.88899135856949e-07,2.44492018430897e-06
"Gm28376",1011.23600168644,-1.3207347301593,0.303585674810871,3.63436542698513e-06,1.93492912228888e-05
"Jph1",2769.25942166575,-1.07051868222631,0.296619314801208,0.000114774032600136,0.000457408276979953
"Gm28783",1.63166496504011,-0.410868179609799,0.874994227879505,0.335825563095791,NA
"Gdap1",225.028929361934,-4.07902874030163,0.291642490692885,1.80072652808992e-45,1.28133261387046e-43
"Gm28784",0.649094331070586,-0.172360963200752,0.924087530439964,0.421266515435696,NA
"Pi15",49.9449170073516,3.21046439323678,0.581512552990652,2.27732802734839e-09,1.93311076869953e-08
"Gm28154",44.7720762345466,1.59352179471312,0.417286609335727,3.32956627332514e-05,0.000147636851604325
"Gm16070",441.08966885771,1.54020545418564,0.294199496309418,4.4576556445986e-08,3.20232148591384e-07
"Crispld1",954.294054951298,1.68527882537132,0.277890017650888,2.81048385406279e-10,2.63616469925842e-09
"Gm28153",247.914968861739,1.5712589815158,0.255141661257389,2.0967376203964e-10,1.99896310411594e-09
"Gm28756",90.8862700062212,-3.63586233229613,0.375668370231247,2.19774578462356e-23,5.88700064327031e-22
"Crisp4",1.06401506072623,-0.0576610944530379,0.850218322072446,0.828999344194421,NA
"Defb18",0,NA,NA,NA,NA
"Defb41",1.81252496366004,0.0848975328950038,0.834801149191161,0.763390310126995,0.840013000308749
"Gm15825",7.6266948950355,-0.142532031905365,0.65640506477886,0.742393418412503,0.823538144079433
"Tfap2d",18.5616382637785,-1.50216530390589,0.563924248721277,0.0018441952172122,0.00561950107216072
"Tfap2b",1459.40191175282,-6.19706944539365,0.398601504913182,9.71719498351913e-58,1.02287530995937e-55
"Gm28340",0.925710233921731,-0.174904158665391,0.922288091541383,0.385397698389705,NA
"Pkhd1",335.180875611167,0.146090660827011,0.315612372447476,0.612069287592521,0.722246295725953
"4930486I03Rik",12.4097168175507,0.100476373695939,0.621637393314737,0.820852069840822,0.880659772031886
"Gm28653",4.71689898794278,-0.100254255355355,0.699412026367514,0.820560182636148,0.880494949135352
"Il17a",0,NA,NA,NA,NA
"Il17f",70.2600587601298,-1.76754355313102,0.332090699410526,1.97396363344894e-08,1.48991850662158e-07
"Mcm3",3974.30901651018,-0.757057262816934,0.140182965034822,6.1520050592106e-08,4.32439781673099e-07
"Gm28065",0,NA,NA,NA,NA
"6720483E21Rik",16.8377208590955,-0.43457915689357,0.575229205845298,0.317496280724806,0.443877957037688
"Paqr8",1460.3768007099,-1.67751853347099,0.198423045977784,4.80462963182752e-18,9.0460558197468e-17
"Efhc1",383.987157065506,0.213698208981528,0.227316043388242,0.329626996312607,0.45680111544268
"Tram2",2920.57355473962,0.592321222470871,0.159776599363515,0.000155887072856421,0.000605253359845217
"Gm28287",1.74824272099582,0.269459965447445,0.815265109143007,0.514319200747965,NA
"Tmem14a",416.931334882164,0.164274856908066,0.298286789353682,0.555695753211625,0.673572212472065
"Gsta3",270.352467755336,2.3647822227928,0.258121346656796,6.67641272532457e-21,1.53220664653079e-19
"Gm28836",23.6592917932879,0.714323489674004,0.471540224397091,0.0779458580114795,0.143883535288727
"Khdc1a",0.732424336140449,-0.00332908484032125,0.863962355575998,0.986307080692646,NA
"Khdc1c",0.558195225980805,0.0443638003441612,0.88999248764049,0.846264737188238,NA
"Khdc1b",4.03611271162182,-0.126641541158335,0.709847351639939,0.775110220161966,0.848291085662931
