"","time","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","symbol","signif","Gene.stable.ID","Gene.stable.ID.1","Gene.name.1","symbol.hs"
"1","5",0,9.27305669987063,0.351,0.001,0,"Apoa2",TRUE,"ENSMUSG00000005681","ENSG00000158874","APOA2","APOA2"
"2","5",0,-8.67226716876569,0.003,0.228,0,"Dcx",TRUE,"ENSMUSG00000031285","ENSG00000077279","DCX","DCX"
"3","5",1.30103982516278e-44,7.99574832655304,0.117,0.001,4.20040707553803e-40,"Prr9",TRUE,"ENSMUSG00000056270","ENSG00000203783","PRR9","PRR9"
"4","5",0,-7.97615113177168,0.039,0.566,0,"Dcc",TRUE,"ENSMUSG00000060534","ENSG00000187323","DCC","DCC"
"5","5",1.27055714215587e-164,-7.97470789204371,0.003,0.205,4.10199373345024e-160,"Prmt8",TRUE,"ENSMUSG00000030350","ENSG00000111218","PRMT8","PRMT8"
"6","5",NA,7.96969949555698,0.613,0.003,NA,"Afp",NA,"ENSMUSG00000054932","ENSG00000081051","AFP","AFP"
"7","5",0,-7.93476053288378,0.008,0.422,0,"Rfx4",TRUE,"ENSMUSG00000020037","ENSG00000111783","RFX4","RFX4"
"8","5",8.01572466888834e-112,7.63308070730232,0.193,0.001,2.5878767093506e-107,"Tbx4",TRUE,"ENSMUSG00000000094","ENSG00000121075","TBX4","TBX4"
"9","5",7.41868664622841e-132,-7.57956067860277,0.004,0.164,2.39512298373484e-127,"Adra1a",TRUE,"ENSMUSG00000045875","ENSG00000120907","ADRA1A","ADRA1A"
"10","5",0,-7.34375544157093,0.007,0.196,0,"Rab3c",TRUE,"ENSMUSG00000021700","ENSG00000152932","RAB3C","RAB3C"
"11","5",0,-7.3258580544046,0.009,0.138,0,"Adarb2",TRUE,"ENSMUSG00000052551","ENSG00000185736","ADARB2","ADARB2"
"12","5",1.67276523069112e-85,7.32548651539218,0.152,0.001,5.40052254728627e-81,"Fgb",TRUE,"ENSMUSG00000033831","ENSG00000171564","FGB","FGB"
"13","5",4.24502061160238e-75,7.27629759497077,0.124,0.001,1.37050490445583e-70,"Apoa4",TRUE,"ENSMUSG00000032080","ENSG00000110244","APOA4","APOA4"
"14","5",3.74719474631729e-149,-7.11939477149518,0.007,0.149,1.20978182384854e-144,"Clvs1",TRUE,"ENSMUSG00000041216","ENSG00000177182","CLVS1","CLVS1"
"15","5",0,-7.09278030476947,0.04,0.582,0,"Adgrv1",TRUE,"ENSMUSG00000069170","ENSG00000164199","ADGRV1","ADGRV1"
"16","5",0,-6.83199019444491,0.016,0.454,0,"Adgrb3",TRUE,"ENSMUSG00000033569","ENSG00000135298","ADGRB3","ADGRB3"
"17","5",1.07474759999991e-252,-6.82472658631157,0.006,0.174,3.46982262659971e-248,"Gria2",TRUE,"ENSMUSG00000033981","ENSG00000120251","GRIA2","GRIA2"
"18","5",4.05620643099732e-23,6.82455774032425,0.106,0.001,1.30954624624748e-18,"Spp2",TRUE,"ENSMUSG00000026295","ENSG00000072080","SPP2","SPP2"
"19","5",1.5163462588487e-298,-6.81749521045073,0.008,0.143,4.89552389669301e-294,"Chl1",TRUE,"ENSMUSG00000030077","ENSG00000134121","CHL1","CHL1"
"20","5",6.34638996410322e-276,-6.81506874689874,0.008,0.185,2.04893199991073e-271,"Myt1l",TRUE,"ENSMUSG00000061911","ENSG00000186487","MYT1L","MYT1L"
"21","5",0,-6.74199302487316,0.008,0.111,0,"Nrg3",TRUE,"ENSMUSG00000041014","ENSG00000185737","NRG3","NRG3"
"22","5",3.88113140993986e-99,6.74198557062052,0.204,0.001,1.25302327569908e-94,"Apoc2",TRUE,"ENSMUSG00000002992","ENSG00000234906","APOC2","APOC2"
"23","5",1.60732378423074e-83,-6.73732502783728,0.004,0.142,5.18924483738894e-79,"Ptpro",TRUE,"ENSMUSG00000030223","ENSG00000151490","PTPRO","PTPRO"
"24","5",0,-6.72542148175008,0.013,0.131,0,"Mgat4c",TRUE,"ENSMUSG00000019888","ENSG00000182050","MGAT4C","MGAT4C"
"25","5",0,-6.62954345667116,0.031,0.206,0,"Nrxn3",TRUE,"ENSMUSG00000066392","ENSG00000021645","NRXN3","NRXN3"
"26","5",5.30066936477093e-101,-6.60994073936007,0.007,0.135,1.7113211044163e-96,"Tfap2b",TRUE,"ENSMUSG00000025927","ENSG00000008196","TFAP2B","TFAP2B"
"27","5",6.45340448445236e-106,-6.59053159558277,0.006,0.103,2.08348163780544e-101,"Fstl5",TRUE,"ENSMUSG00000034098","ENSG00000168843","FSTL5","FSTL5"
"28","5",1.78788028901223e-112,-6.52532633069961,0.007,0.181,5.77217151307599e-108,"Kcnk10",TRUE,"ENSMUSG00000033854","ENSG00000100433","KCNK10","KCNK10"
"29","5",0,-6.45156970261575,0.024,0.39,0,"Tmem178b",TRUE,"ENSMUSG00000057716","ENSG00000261115","TMEM178B","TMEM178B"
"30","5",0,-6.39780646944186,0.023,0.412,0,"Mapk10",TRUE,"ENSMUSG00000046709","ENSG00000109339","MAPK10","MAPK10"
"31","5",7.48224278356446e-122,-6.36877916521475,0.008,0.109,2.41564208267378e-117,"St18",TRUE,"ENSMUSG00000033740","ENSG00000147488","ST18","ST18"
"32","5",0,-6.25349197106798,0.02,0.253,0,"Srrm4",TRUE,"ENSMUSG00000063919","ENSG00000139767","SRRM4","SRRM4"
"33","5",0,-6.22631165656747,0.021,0.301,0,"Myo16",TRUE,"ENSMUSG00000039057","ENSG00000041515","MYO16","MYO16"
"34","5",3.24571662522695e-224,-6.19549090094514,0.013,0.211,1.04787961245452e-219,"Ntrk3",TRUE,"ENSMUSG00000059146","ENSG00000140538","NTRK3","NTRK3"
"35","5",2.58065794835272e-150,6.16228178491648,0.268,0.003,8.33165418625676e-146,"S100g",TRUE,"ENSMUSG00000040808","ENSG00000169906","S100G","S100G"
"36","5",0,6.16111519373538,0.433,0.006,0,"Ttr",TRUE,"ENSMUSG00000061808","ENSG00000118271","TTR","TTR"
"37","5",3.70349402683358e-129,-6.15372017118313,0.012,0.1,1.19567304656322e-124,"Robo3",TRUE,"ENSMUSG00000032128","ENSG00000154134","ROBO3","ROBO3"
"38","5",2.02220490271317e-223,-6.1348623071858,0.02,0.229,6.52868852840948e-219,"Glra1",TRUE,"ENSMUSG00000000263","ENSG00000145888","GLRA1","GLRA1"
"39","5",6.77262814723789e-32,6.10020275495616,0.157,0.002,2.18654299733575e-27,"Mgp",TRUE,"ENSMUSG00000030218","ENSG00000111341","MGP","MGP"
"40","5",0,-6.07801467556236,0.031,0.248,0,"Ebf3",TRUE,"ENSMUSG00000010476","ENSG00000108001","EBF3","EBF3"
"41","5",0,-5.96811405927733,0.019,0.184,0,"Csmd1",TRUE,"ENSMUSG00000060924","ENSG00000183117","CSMD1","CSMD1"
"42","5",0,-5.95493593939157,0.017,0.236,0,"Fgf14",TRUE,"ENSMUSG00000025551","ENSG00000102466","FGF14","FGF14"
"43","5",0,-5.90151806522092,0.072,0.651,0,"Tox3",TRUE,"ENSMUSG00000043668","ENSG00000103460","TOX3","TOX3"
"44","5",0,-5.83312764361942,0.014,0.154,0,"Mdga2",TRUE,"ENSMUSG00000034912","ENSG00000139915","MDGA2","MDGA2"
"45","5",2.69042561966962e-95,5.80144911547843,0.223,0.004,8.68603911310336e-91,"Ccl17",TRUE,"ENSMUSG00000031780","ENSG00000102970","CCL17","CCL17"
"46","5",0,-5.73578020931939,0.043,0.562,0,"Ptprn2",TRUE,"ENSMUSG00000056553","ENSG00000155093","PTPRN2","PTPRN2"
"47","5",7.40406105606694e-54,5.70238564510653,0.167,0.002,2.39040111195121e-49,"Hand1",TRUE,"ENSMUSG00000037335","ENSG00000113196","HAND1","HAND1"
"48","5",0,-5.63842804515337,0.023,0.324,0,"Crabp1",TRUE,"ENSMUSG00000032291","ENSG00000166426","CRABP1","CRABP1"
"49","5",0,-5.61477955399128,0.023,0.362,0,"Ptprz1",TRUE,"ENSMUSG00000068748","ENSG00000106278","PTPRZ1","PTPRZ1"
"50","5",4.80107417714125e-83,-5.58572298973626,0.008,0.161,1.55002679809005e-78,"Stmn3",TRUE,"ENSMUSG00000027581","ENSG00000197457","STMN3","STMN3"
"51","5",0,-5.56527117920617,0.073,0.66,0,"Fabp7",TRUE,"ENSMUSG00000019874","ENSG00000164434","FABP7","FABP7"
"52","5",7.4986680341903e-234,-5.56231212963665,0.017,0.255,2.42094497483834e-229,"Elavl3",TRUE,"ENSMUSG00000003410","ENSG00000196361","ELAVL3","ELAVL3"
"53","5",8.56886256309517e-40,5.48964643477735,0.168,0.003,2.76645727849527e-35,"Hand2",TRUE,"ENSMUSG00000038193","ENSG00000164107","HAND2","HAND2"
"54","5",6.69808175511042e-218,-5.45119463563725,0.008,0.13,2.1624756946374e-213,"Ncam2",TRUE,"ENSMUSG00000022762","ENSG00000154654","NCAM2","NCAM2"
"55","5",1.29233018377842e-94,5.40020366662521,0.171,0.005,4.17228799832862e-90,"Tnfaip2",TRUE,"ENSMUSG00000021281","ENSG00000185215","TNFAIP2","TNFAIP2"
"56","5",0,-5.38434553865716,0.018,0.258,0,"Gpm6a",TRUE,"ENSMUSG00000031517","ENSG00000150625","GPM6A","GPM6A"
"57","5",0,-5.36623722291103,0.029,0.224,0,"Nlgn1",TRUE,"ENSMUSG00000063887","ENSG00000169760","NLGN1","NLGN1"
"58","5",0,-5.33811565947641,0.076,0.568,0,"Slc35f1",TRUE,"ENSMUSG00000038602","ENSG00000196376","SLC35F1","SLC35F1"
"59","5",2.84332016226484e-109,5.31163107494684,0.227,0.005,9.17965914387205e-105,"Dkk1",TRUE,"ENSMUSG00000024868","ENSG00000107984","DKK1","DKK1"
"60","5",4.1340180076237e-250,-5.3098992804402,0.02,0.173,1.33466771376131e-245,"Grin2b",TRUE,"ENSMUSG00000030209","ENSG00000273079","GRIN2B","GRIN2B"
"61","5",NA,5.25529745783113,0.266,0.005,NA,"Apob",NA,"ENSMUSG00000020609","ENSG00000084674","APOB","APOB"
"62","5",0,-5.24229737319181,0.101,0.464,0,"Map2",TRUE,"ENSMUSG00000015222","ENSG00000078018","MAP2","MAP2"
