"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","id","celltype"
"ENSG00000064666",1770.7889719659,-14.0382825957309,0.312940586754767,-44.859258242306,0,0,"ENSG00000064666","neuron"
"ENSG00000064961",541.636637061126,-8.14418977479982,0.204498013748294,-39.8252756861692,0,0,"ENSG00000064961","neuron"
"ENSG00000069667",19813.4706492395,7.36387910932807,0.190824928053984,38.5897124889513,0,0,"ENSG00000069667","neuron"
"ENSG00000085872",256.249861972472,-11.169413479416,0.282645460201094,-39.5173991879059,0,0,"ENSG00000085872","neuron"
"ENSG00000105085",37.1664466210018,-12.0663759552649,0.256877877227802,-46.973200205031,0,0,"ENSG00000105085","neuron"
"ENSG00000105722",200.464363875012,-11.3017064643785,0.251316817426211,-44.9699569655612,0,0,"ENSG00000105722","neuron"
"ENSG00000107581",1873.78789555626,-4.52934368630222,0.110072046039317,-41.1489006453498,0,0,"ENSG00000107581","neuron"
"ENSG00000129474",478.949711514891,-13.6840116280579,0.360356158426152,-37.9735750536984,0,0,"ENSG00000129474","neuron"
"ENSG00000132688",10059.3018855002,-13.8176459001361,0.272343590284232,-50.7360789571558,0,0,"ENSG00000132688","neuron"
"ENSG00000135482",42.0155390165322,-11.0853649475088,0.242414625621578,-45.7289444441923,0,0,"ENSG00000135482","neuron"
"ENSG00000137693",1922.47846226006,-7.37429288262143,0.193753045672856,-38.0602681986875,0,0,"ENSG00000137693","neuron"
"ENSG00000142694",293.358776811716,-10.3837626506333,0.271641444222994,-38.2259882336257,0,0,"ENSG00000142694","neuron"
"ENSG00000143545",713.170801619169,-20.5512797171025,0.462795042237874,-44.4068709503143,0,0,"ENSG00000143545","neuron"
"ENSG00000147065",2381.50883636464,-8.54742265532303,0.206246209430677,-41.442810895373,0,0,"ENSG00000147065","neuron"
"ENSG00000154545",446.426572067265,-11.7599013020307,0.272875327543984,-43.0962425510426,0,0,"ENSG00000154545","neuron"
"ENSG00000165424",1095.69483987532,-9.05240317037037,0.208315491787976,-43.4552567006583,0,0,"ENSG00000165424","neuron"
"ENSG00000169100",1752.07088837277,-15.4875070264633,0.354477324740447,-43.691107852395,0,0,"ENSG00000169100","neuron"
"ENSG00000169871",624.367148978405,-10.1663468637976,0.239740856522153,-42.4055666242195,0,0,"ENSG00000169871","neuron"
"ENSG00000171425",58.6323335778976,-11.9632013770887,0.293659577664499,-40.7383320245608,0,0,"ENSG00000171425","neuron"
"ENSG00000172037",2057.21817798839,-11.0741762283896,0.274115471416506,-40.3996759875072,0,0,"ENSG00000172037","neuron"
"ENSG00000177045",204.659746571168,-10.4873059366877,0.274000357238496,-38.2747892826991,0,0,"ENSG00000177045","neuron"
"ENSG00000187866",51.1291651252496,-11.2254201564807,0.292473599105877,-38.3809690542942,0,0,"ENSG00000187866","neuron"
"ENSG00000197324",1001.46384809686,-11.4539734284853,0.210622757972817,-54.3814616175692,0,0,"ENSG00000197324","neuron"
"ENSG00000197976",176.49296299772,-12.533337058983,0.222205795740545,-56.4041861159073,0,0,"ENSG00000197976","neuron"
"ENSG00000198914",416.310191427187,-10.284779150953,0.26755113641543,-38.4404240951671,0,0,"ENSG00000198914","neuron"
"ENSG00000213024",281.563405319395,-12.4249584612383,0.327927120599005,-37.8893896867767,0,0,"ENSG00000213024","neuron"
"ENSG00000215883",39.1100107071037,-9.26091624052563,0.235231748356326,-39.3693296301879,0,0,"ENSG00000215883","neuron"
"ENSG00000244462",447.044839845092,-13.7132913944393,0.233047830070621,-58.843248573839,0,0,"ENSG00000244462","neuron"
"ENSG00000247626",18.5536721092647,-12.2789929078635,0.326048498256333,-37.6600198238301,0,0,"ENSG00000247626","neuron"
"ENSG00000257594",60.5204881663307,-13.254992512389,0.347328543152915,-38.1626928557764,0,0,"ENSG00000257594","neuron"
"ENSG00000273154",43.596761265991,-11.1161728507729,0.224301247401599,-49.5591218486182,0,0,"ENSG00000273154","neuron"
"ENSG00000163684",64.2191373187449,-10.9547142628707,0.293916493485683,-37.2715193113322,4.74956477244634e-304,2.6443201870595e-301,"ENSG00000163684","neuron"
"ENSG00000205730",106.545989668194,-13.6701560588337,0.367198600561911,-37.2282357228887,2.38437389639992e-303,1.28727288903821e-300,"ENSG00000205730","neuron"
"ENSG00000198673",1849.40477767979,9.35597613864313,0.251457700220433,37.206958189952,5.26671117071945e-303,2.75975665345699e-300,"ENSG00000198673","neuron"
"ENSG00000230590",11442.1258906906,5.2449646568327,0.141164099093004,37.1550889392714,3.62830601154998e-302,1.84691142576499e-299,"ENSG00000230590","neuron"
"ENSG00000196924",15134.7575370246,-9.24696732464876,0.248979726304954,-37.139438868701,6.49182613017877e-302,3.21273262042403e-299,"ENSG00000196924","neuron"
"ENSG00000143951",2362.65477834893,5.04639288419407,0.135940480629301,37.1220762265451,1.23752542735976e-301,5.9588521659031e-299,"ENSG00000143951","neuron"
"ENSG00000124067",493.011507958677,-10.2209247984065,0.275785662756217,-37.0611173048594,1.18914373986003e-300,5.5752065445648e-298,"ENSG00000124067","neuron"
"ENSG00000215012",118.490169661929,-10.8098119366239,0.291903210694458,-37.0321789572187,3.47669553192268e-300,1.5882258358137e-297,"ENSG00000215012","neuron"
"ENSG00000089597",2223.05418433748,-6.17691929689742,0.168838204988201,-36.5848434442257,4.98222307593268e-293,2.21908215802042e-290,"ENSG00000089597","neuron"
"ENSG00000141736",589.698346552199,-8.12195074438538,0.222291947984299,-36.537314185393,2.83576044517605e-292,1.23224166076235e-289,"ENSG00000141736","neuron"
"ENSG00000104866",187.693907998643,-9.45402492216423,0.258849400619128,-36.523263718408,4.73964294846602e-292,2.01051139928263e-289,"ENSG00000104866","neuron"
"ENSG00000241839",42.9499105905625,-14.664620639554,0.401995197964888,-36.4795915816757,2.33652950923339e-291,9.68083947360513e-289,"ENSG00000241839","neuron"
"ENSG00000149257",1531.61816104878,-11.3631143731274,0.312835139628354,-36.3230114961722,7.01121121107e-289,2.83890315764598e-286,"ENSG00000149257","neuron"
"ENSG00000213699",205.544396164088,-11.7220843023963,0.322816958080508,-36.3118603560873,1.0514948039708e-288,4.16298476167638e-286,"ENSG00000213699","neuron"
"ENSG00000140682",492.086046692511,-10.7744439814952,0.297461006109496,-36.2213660284908,2.80679125761854e-287,1.08708245751591e-284,"ENSG00000140682","neuron"
"ENSG00000152661",3009.63426219552,-11.9713852559148,0.331555244743676,-36.1067588153213,1.77659466199864e-285,6.73442776556761e-283,"ENSG00000152661","neuron"
"ENSG00000147140",2023.72405257751,-6.08477026282674,0.169624184648071,-35.8720678625583,8.32983752055462e-282,3.09175802637919e-279,"ENSG00000147140","neuron"
"ENSG00000178605",213.829803987067,-10.5540777325426,0.294600966107176,-35.8249936244371,4.509166105412e-281,1.63949598640858e-278,"ENSG00000178605","neuron"
"ENSG00000182378",88.4078265389092,-9.5814985957095,0.268312297141644,-35.7102477142572,2.74102884715103e-279,9.76683398816855e-277,"ENSG00000182378","neuron"
"ENSG00000251022",78.481788994392,-9.80649783703215,0.274768972435258,-35.6899752913069,5.65549742080336e-279,1.97565376566731e-276,"ENSG00000251022","neuron"
"ENSG00000214753",615.346094640102,-11.0146135688146,0.310061997461583,-35.5239070217863,2.1016284538634e-276,7.20050241039045e-274,"ENSG00000214753","neuron"
"ENSG00000177469",3007.57036073096,-12.2486282233992,0.346503209746389,-35.3492489502888,1.0295919236521e-273,3.46098296448789e-271,"ENSG00000177469","neuron"
"ENSG00000152684",45.1870583521584,-10.6707806366881,0.303430126737992,-35.1671758879176,6.3516764299931e-271,2.09558272734735e-268,"ENSG00000152684","neuron"
"ENSG00000186767",76.6482329734956,-14.5447492709805,0.414306529154895,-35.1062516457295,5.41158741187969e-270,1.75296075145543e-267,"ENSG00000186767","neuron"
"ENSG00000171723",4999.39319021584,4.55579294722206,0.129863334928293,35.0814411915237,1.29350744607748e-269,4.11520154630649e-267,"ENSG00000171723","neuron"
"ENSG00000026025",31028.186442493,-14.348595402709,0.410889748766634,-34.9207918809829,3.59547069123e-267,1.1238053655255e-264,"ENSG00000026025","neuron"
"ENSG00000248593",10.2423982155573,-11.427813791089,0.327844356028784,-34.8574364052363,3.28484406672756e-266,1.00901348091066e-263,"ENSG00000248593","neuron"
"ENSG00000124942",2989.09670354096,-10.1056769059571,0.290038191656929,-34.8425731391629,5.51642424783274e-266,1.66577312541336e-263,"ENSG00000124942","neuron"
"ENSG00000067182",704.863221948575,-6.75139782319212,0.19476492777011,-34.6643407542096,2.71634204914788e-263,8.06572499126978e-261,"ENSG00000067182","neuron"
"ENSG00000181449",1429.8284868273,-14.9943843661243,0.433441417120236,-34.5937969328042,3.13178033442577e-262,9.14685220297206e-260,"ENSG00000181449","neuron"
"ENSG00000234857",377.550721718173,-10.2024591177483,0.295672713423463,-34.5059204132116,6.53829943681283e-261,1.87881198010093e-258,"ENSG00000234857","neuron"
"ENSG00000088882",507.896252397876,-15.9891343873699,0.466521071809878,-34.2731236669325,1.97360852680024e-257,5.58123960531319e-255,"ENSG00000088882","neuron"
"ENSG00000159217",172.820450911207,-10.30949245814,0.302139827719195,-34.121593753345,3.52908889352941e-255,9.8241012073625e-253,"ENSG00000159217","neuron"
