"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","id","celltype"
"ENSG00000069667",9296.12956970547,7.91774876326465,0.168147221454379,47.0881926848422,0,0,"ENSG00000069667","52"
"ENSG00000185737",14112.2855687991,11.5358895622445,0.319084802623005,36.1530523152931,3.33150575333066e-286,2.96620614747795e-282,"ENSG00000185737","52"
"ENSG00000127249",1612.30871731845,8.67709486951152,0.255840007618766,33.9160983861504,3.85754116343646e-252,2.28970784991043e-248,"ENSG00000127249","52"
"ENSG00000263327",758.836877374338,6.15416752884888,0.188833267601696,32.5904836950117,5.59437681458935e-233,2.49047669843481e-229,"ENSG00000263327","52"
"ENSG00000162430",853.250802473556,-10.3177918776395,0.325372524665553,-31.7107041789871,1.10616938851457e-220,3.93951166025579e-217,"ENSG00000162430","52"
"ENSG00000188157",2604.61606486971,-12.7870912184168,0.415328301672478,-30.7879120371155,3.80368312356026e-208,1.12886975635396e-204,"ENSG00000188157","52"
"ENSG00000026508",2302.56324899116,-11.5932793412092,0.383989087661106,-30.1916895915567,3.0450164032105e-200,7.7460867274242e-197,"ENSG00000026508","52"
"ENSG00000204442",4082.78861536728,11.0589686353202,0.37040033663802,29.8567996338723,7.16432187048186e-196,1.59468849434588e-192,"ENSG00000204442","52"
"ENSG00000213639",1883.34997223574,-7.22598066424459,0.245154550739593,-29.4752050999867,5.98589833558618e-191,1.18434324068648e-187,"ENSG00000213639","52"
"ENSG00000242759",787.110616697281,6.45971875503073,0.22205011182027,29.0912654899238,4.62999563883665e-186,8.24463323407643e-183,"ENSG00000242759","52"
"ENSG00000160691",590.146982773,-10.012991437179,0.348195369835538,-28.7568196036278,7.44303093605269e-182,1.20489138071173e-178,"ENSG00000160691","52"
"ENSG00000237877",1593.16661886206,9.39773814097773,0.336184680198661,27.9540939683044,5.87861123751246e-172,8.7233691921987e-169,"ENSG00000237877","52"
"ENSG00000179915",12915.7677079346,10.1665632994309,0.364157465110937,27.9180417085059,1.61152522240374e-171,2.20741766425719e-168,"ENSG00000179915","52"
"ENSG00000196482",1461.97198459968,9.53785021752161,0.346750404611516,27.5063852577401,1.47253231306494e-166,1.8729559213391e-163,"ENSG00000196482","52"
"ENSG00000164188",1210.59224800779,9.21750396849629,0.336754764212046,27.3715621813513,5.98170677931436e-165,7.10108350795006e-162,"ENSG00000164188","52"
"ENSG00000156508",22292.7405383387,-12.4156708005342,0.454636863975149,-27.308983904158,3.31782955054328e-164,3.69253692540777e-161,"ENSG00000156508","52"
